month,day,carrier,origin,arr_delay,arr_time,sched_arr_time
4,7,9E,JFK,2,1837,1835
9,14,EV,EWR,6,1717,1711
8,27,UA,EWR,-32,820,852
5,14,B6,JFK,-13,929,942
11,23,WN,EWR,-6,739,745
3,16,UA,EWR,-21,1644,1705
12,1,AA,JFK,-31,1734,1805
4,4,EV,EWR,20,1004,944
10,18,EV,EWR,52,2332,2240
9,4,US,JFK,-20,751,811
1,14,MQ,EWR,4,1354,1350
7,5,UA,EWR,-42,1930,2012
12,30,DL,EWR,221,1749,1408
6,12,DL,LGA,-9,1831,1840
5,17,DL,LGA,27,1407,1340
9,27,AA,LGA,-32,2218,2250
10,7,UA,EWR,-16,2016,2032
11,15,EV,LGA,-14,1216,1230
6,7,UA,EWR,-1,1732,1733
11,5,B6,JFK,48,1140,1052
8,5,MQ,LGA,-7,1918,1925
3,19,B6,JFK,-15,908,923
10,28,US,EWR,-9,1012,1021
3,4,B6,JFK,-9,1038,1047
12,13,AA,EWR,5,2025,2020
11,19,EV,EWR,-8,2044,2052
5,30,DL,LGA,8,1947,1939
4,9,B6,LGA,-28,1707,1735
4,21,US,LGA,-20,1153,1213
3,19,UA,EWR,8,1343,1335
1,14,AA,JFK,17,1932,1915
9,11,EV,EWR,NA,2116,1806
2,22,B6,EWR,-12,1742,1754
4,7,EV,EWR,-11,1157,1208
7,7,B6,JFK,157,158,2321
2,6,B6,LGA,-20,1344,1404
11,5,DL,JFK,12,2246,2234
10,12,DL,LGA,-23,1055,1118
1,28,MQ,LGA,-9,1701,1710
10,25,EV,JFK,291,1207,716
11,18,UA,EWR,-24,1308,1332
9,1,UA,EWR,-7,1214,1221
11,19,UA,JFK,-12,1420,1432
7,8,DL,JFK,-8,1056,1104
11,9,EV,EWR,14,1739,1725
1,10,UA,EWR,1,1035,1034
9,6,MQ,LGA,-28,822,850
8,22,UA,EWR,-7,818,825
9,25,WN,LGA,25,1445,1420
11,27,DL,LGA,72,1814,1702
10,27,UA,EWR,-24,1044,1108
11,26,US,LGA,1,700,659
6,20,AA,LGA,-26,1324,1350
3,10,AA,JFK,-46,1919,2005
4,2,UA,EWR,-17,1417,1434
7,4,EV,EWR,-18,1006,1024
8,29,B6,EWR,-22,657,719
11,28,EV,EWR,79,1116,957
9,8,DL,LGA,-15,1900,1915
2,8,9E,JFK,NA,NA,2224
11,24,DL,LGA,-19,1946,2005
5,21,EV,EWR,59,1738,1639
2,15,AA,JFK,-34,1631,1705
7,27,B6,JFK,49,2317,2228
5,7,UA,EWR,-28,1620,1648
7,4,UA,EWR,-17,1408,1425
9,29,9E,JFK,-39,2132,2211
5,7,EV,EWR,-21,2052,2113
1,23,UA,EWR,7,1943,1936
12,2,B6,LGA,78,1511,1353
9,20,B6,JFK,-8,935,943
10,13,EV,EWR,132,1627,1415
7,18,B6,LGA,40,1438,1358
7,7,UA,EWR,-2,2152,2154
2,19,MQ,JFK,-13,942,955
5,9,AA,JFK,-24,2016,2040
10,19,9E,JFK,2,2037,2035
4,19,US,LGA,15,1326,1311
7,20,B6,JFK,20,1419,1359
10,16,EV,LGA,-3,1638,1641
3,4,AA,LGA,9,2139,2130
5,22,MQ,LGA,31,1535,1504
6,9,UA,LGA,2,906,904
6,18,VX,EWR,79,2324,2205
6,26,AA,LGA,-13,1531,1544
7,13,AA,JFK,-3,1202,1205
8,28,UA,EWR,-48,1000,1048
4,11,EV,EWR,47,2048,2001
3,28,AA,JFK,-22,1318,1340
2,11,MQ,LGA,-10,820,830
10,2,MQ,LGA,-21,838,859
8,13,AA,JFK,30,1830,1800
8,3,WN,LGA,37,1852,1815
1,15,EV,EWR,-8,1403,1411
7,7,UA,EWR,163,2253,2010
6,4,AA,LGA,77,1617,1500
6,29,B6,EWR,-10,824,834
11,28,B6,EWR,19,2209,2150
3,27,DL,LGA,3,833,830
9,20,UA,EWR,-30,1052,1122
10,11,UA,LGA,-44,749,833
5,9,EV,EWR,10,2008,1958
12,14,EV,EWR,1,746,745
2,20,EV,EWR,33,2137,2104
7,29,DL,JFK,6,1012,1006
2,22,B6,JFK,25,19,2354
10,26,UA,EWR,-8,1414,1422
5,29,UA,EWR,-19,1513,1532
6,17,EV,EWR,-10,706,716
2,20,UA,EWR,-9,1320,1329
11,21,US,LGA,-8,2010,2018
4,20,WN,EWR,-4,921,925
12,13,UA,EWR,-3,2205,2208
8,17,UA,EWR,-19,907,926
5,6,VX,EWR,-22,1548,1610
9,24,EV,EWR,-33,2147,2220
3,26,DL,LGA,81,1052,931
3,20,EV,EWR,1,811,810
6,8,UA,EWR,23,1832,1809
12,31,B6,JFK,65,44,2339
4,26,9E,JFK,-8,1841,1849
7,31,UA,EWR,-21,2334,2355
9,17,MQ,LGA,9,1414,1405
7,4,UA,EWR,-2,1635,1637
5,13,B6,JFK,6,4,2358
5,31,FL,LGA,-36,1002,1038
5,6,DL,EWR,-38,1956,2034
4,20,UA,EWR,-36,1916,1952
7,14,EV,LGA,-40,1545,1625
10,11,AA,LGA,4,1059,1055
12,12,EV,EWR,-14,1223,1237
6,20,EV,EWR,-12,810,822
4,16,MQ,JFK,-11,859,910
7,15,B6,JFK,-39,2110,2149
9,1,MQ,EWR,-18,657,715
1,12,B6,JFK,8,15,7
5,8,DL,LGA,153,1707,1434
1,22,EV,EWR,53,1941,1848
4,11,UA,JFK,4,1326,1322
5,14,EV,EWR,NA,NA,1929
3,29,EV,EWR,-18,1834,1852
7,29,MQ,LGA,20,1800,1740
6,25,WN,LGA,-10,1510,1520
3,13,MQ,LGA,6,2026,2020
12,17,EV,EWR,251,2100,1649
9,26,B6,JFK,-17,920,937
9,3,MQ,JFK,-24,1756,1820
11,24,EV,EWR,-4,1659,1703
10,11,B6,LGA,-5,853,858
1,17,9E,JFK,112,2012,1820
8,25,DL,JFK,-33,2110,2143
7,31,EV,EWR,-9,801,810
1,27,EV,EWR,81,2339,2218
1,5,DL,JFK,39,1916,1837
7,1,DL,JFK,5,1106,1101
12,31,AA,JFK,2,1927,1925
5,27,UA,EWR,-17,1808,1825
8,18,UA,EWR,-8,2018,2026
8,31,AA,LGA,-39,816,855
5,2,B6,JFK,-5,1851,1856
8,16,9E,JFK,-6,1024,1030
9,7,UA,EWR,-9,1538,1547
8,7,DL,LGA,-29,1720,1749
5,27,B6,JFK,-10,1035,1045
12,28,US,EWR,-13,1453,1506
12,3,9E,JFK,-9,930,939
7,30,US,JFK,-19,749,808
10,27,EV,EWR,-13,1532,1545
8,7,WN,EWR,23,1333,1310
12,1,B6,JFK,-10,1605,1615
8,22,AA,JFK,16,1401,1345
8,13,EV,EWR,25,1707,1642
11,14,UA,EWR,-22,1816,1838
2,23,AA,JFK,60,55,2355
11,26,B6,EWR,125,2355,2150
9,2,EV,LGA,74,41,2327
4,21,AA,LGA,-25,1635,1700
10,4,UA,EWR,-10,2318,2328
5,3,UA,LGA,-10,1740,1750
10,18,US,LGA,69,1727,1618
1,2,B6,LGA,22,1257,1235
4,1,AA,JFK,10,2000,1950
11,11,UA,EWR,-16,1748,1804
10,16,EV,LGA,-2,1839,1841
7,10,UA,EWR,-26,1059,1125
4,27,B6,LGA,-26,2312,2338
11,13,UA,EWR,-20,1217,1237
5,9,MQ,JFK,42,1912,1830
2,8,AA,LGA,-2,1243,1245
6,29,DL,JFK,92,1842,1710
11,12,UA,EWR,-22,933,955
10,11,WN,LGA,103,2158,2015
8,10,UA,EWR,22,1939,1917
11,27,B6,LGA,130,53,2243
11,5,AA,LGA,-12,753,805
10,18,VX,EWR,-40,2025,2105
5,3,MQ,JFK,-12,1158,1210
7,17,EV,EWR,238,1408,1010
8,29,UA,LGA,43,2236,2153
12,22,US,LGA,-2,1212,1214
7,22,WN,EWR,-18,1212,1230
5,9,FL,LGA,81,2014,1853
6,11,EV,JFK,-19,1055,1114
9,22,VX,EWR,3,1558,1555
11,1,B6,JFK,147,1426,1159
11,9,MQ,LGA,-19,1431,1450
6,17,AA,EWR,-13,2132,2145
3,8,9E,JFK,52,2035,1943
12,11,EV,EWR,43,927,844
3,5,MQ,JFK,-6,1309,1315
4,28,UA,EWR,-27,1214,1241
8,5,US,LGA,-12,1109,1121
1,31,B6,EWR,19,1636,1617
11,5,UA,EWR,-32,2029,2101
8,28,EV,EWR,51,1633,1542
11,10,DL,LGA,31,2207,2136
3,17,UA,EWR,-13,1447,1500
7,16,EV,EWR,-13,1151,1204
9,20,US,JFK,-5,1207,1212
6,28,B6,JFK,161,229,2348
11,18,US,EWR,6,1934,1928
5,26,B6,JFK,-6,1031,1037
12,19,DL,LGA,-11,910,921
1,20,9E,JFK,18,1642,1624
12,6,DL,JFK,-42,1912,1954
7,27,WN,LGA,-6,1459,1505
5,10,UA,EWR,148,224,2356
11,19,DL,LGA,-3,1329,1332
3,10,UA,EWR,-42,956,1038
5,1,EV,EWR,16,1710,1654
1,27,UA,EWR,-1,1310,1311
10,22,AA,JFK,-19,1836,1855
12,7,B6,JFK,26,25,2359
2,24,UA,EWR,-11,1013,1024
7,18,UA,EWR,61,2345,2244
9,4,MQ,JFK,-14,1341,1355
8,4,UA,EWR,-15,825,840
2,19,AA,JFK,-1,2224,2225
11,4,B6,JFK,-10,1606,1616
7,25,AA,LGA,-7,1943,1950
11,13,AA,JFK,-15,1900,1915
8,8,UA,JFK,1,1144,1143
4,3,EV,EWR,8,1021,1013
6,21,AA,JFK,-15,1155,1210
1,12,B6,LGA,-28,836,904
5,24,FL,LGA,75,2117,2002
7,27,UA,LGA,-14,819,833
11,19,UA,EWR,6,1001,955
7,15,UA,EWR,-12,912,924
8,21,MQ,LGA,-23,1052,1115
10,31,UA,EWR,-10,1103,1113
12,4,US,LGA,-8,907,915
7,19,9E,JFK,39,1058,1019
8,11,DL,EWR,-18,941,959
9,14,VX,EWR,-4,1336,1340
7,30,UA,EWR,-24,2210,2234
11,5,EV,EWR,-8,950,958
11,25,UA,EWR,-23,820,843
9,20,EV,LGA,-31,927,958
7,4,9E,JFK,-9,1603,1612
10,8,AA,JFK,-6,929,935
10,28,DL,LGA,0,1343,1343
2,5,EV,EWR,1,1432,1431
7,18,US,LGA,-14,753,807
11,27,DL,JFK,-3,1055,1058
6,10,DL,EWR,-4,1116,1120
4,23,9E,JFK,159,2010,1731
10,9,UA,EWR,-18,1300,1318
2,1,AA,LGA,-6,1244,1250
5,9,AA,JFK,-1,2239,2240
2,6,MQ,LGA,11,951,940
1,7,9E,JFK,-3,1729,1732
6,25,DL,JFK,24,2204,2140
11,7,MQ,EWR,92,2136,2004
4,8,DL,LGA,-19,741,800
8,10,UA,EWR,-12,1757,1809
3,28,UA,EWR,-23,1942,2005
8,22,B6,JFK,71,1621,1510
6,2,AA,JFK,-28,1127,1155
6,17,DL,JFK,-12,1056,1108
4,29,UA,EWR,-17,2046,2103
6,7,MQ,JFK,34,1709,1635
10,19,B6,LGA,11,1403,1352
11,15,EV,EWR,-8,1025,1033
11,10,AA,EWR,-5,1515,1520
5,21,DL,JFK,-7,1638,1645
4,11,VX,JFK,14,1424,1410
3,5,EV,EWR,11,1415,1404
8,23,US,LGA,27,1750,1723
4,9,MQ,JFK,-14,2116,2130
11,5,DL,LGA,-20,1439,1459
8,6,EV,LGA,6,1049,1043
7,2,AA,JFK,42,2237,2155
9,4,DL,JFK,-15,1015,1030
9,21,B6,JFK,0,1056,1056
11,19,9E,LGA,-10,810,820
9,14,AA,JFK,-15,905,920
12,27,9E,JFK,-26,1734,1800
9,6,EV,JFK,-15,701,716
11,9,VX,JFK,14,1409,1355
6,3,EV,EWR,50,2331,2241
9,26,EV,EWR,-25,1217,1242
12,20,UA,EWR,-16,1222,1238
9,18,9E,JFK,18,1836,1818
2,17,FL,LGA,-4,1829,1833
11,21,MQ,JFK,-6,1004,1010
7,20,EV,JFK,68,1642,1534
10,3,EV,LGA,105,2332,2147
10,9,AA,LGA,-4,1650,1654
1,31,UA,EWR,0,2233,2233
10,3,EV,EWR,11,1728,1717
7,6,UA,LGA,-38,1614,1652
10,24,US,LGA,-21,847,908
3,5,EV,EWR,-8,1729,1737
6,29,AA,EWR,-10,1940,1950
4,14,EV,LGA,-3,1939,1942
8,29,EV,EWR,-11,802,813
8,14,US,LGA,10,1622,1612
1,29,AA,LGA,-14,2116,2130
8,20,B6,JFK,0,2354,2354
12,24,AA,JFK,-1,939,940
8,12,DL,JFK,-12,1618,1630
10,17,EV,EWR,-8,1006,1014
8,14,DL,LGA,8,1444,1436
2,18,MQ,EWR,-16,1124,1140
2,16,DL,LGA,-40,2105,2145
3,26,B6,LGA,0,1045,1045
1,22,WN,EWR,2,1142,1140
4,6,UA,LGA,-10,723,733
11,25,AA,LGA,11,2146,2135
8,7,EV,LGA,25,2121,2056
4,17,MQ,EWR,5,1130,1125
9,9,9E,JFK,-27,2015,2042
5,22,UA,LGA,180,1734,1434
9,10,B6,JFK,2,1058,1056
8,4,US,LGA,4,1829,1825
5,27,DL,JFK,-15,850,905
10,21,AA,LGA,-23,2112,2135
8,8,DL,LGA,-20,927,947
12,31,B6,JFK,56,1612,1516
10,6,B6,JFK,-16,1009,1025
1,28,B6,JFK,-16,1045,1101
9,18,AA,LGA,73,2103,1950
7,1,UA,JFK,16,1330,1314
1,4,DL,LGA,-16,1111,1127
6,17,UA,EWR,-9,1610,1619
2,3,WN,EWR,6,1901,1855
8,1,EV,EWR,6,1322,1316
9,1,US,LGA,-31,1553,1624
7,20,EV,LGA,-11,1201,1212
12,22,UA,EWR,15,1715,1700
2,10,AA,LGA,-4,1326,1330
1,3,EV,EWR,-7,1413,1420
10,17,MQ,EWR,-4,1136,1140
3,27,MQ,LGA,-23,1442,1505
4,16,UA,EWR,10,1138,1128
8,31,EV,EWR,-16,1219,1235
3,18,AA,JFK,-17,1028,1045
5,17,B6,JFK,-8,2237,2245
2,26,DL,JFK,-21,2208,2229
11,11,B6,JFK,11,2020,2009
12,19,EV,EWR,67,1223,1116
3,11,9E,JFK,40,1816,1736
12,22,DL,LGA,-23,1143,1206
12,30,B6,JFK,15,2008,1953
9,8,UA,EWR,-22,1811,1833
1,24,EV,EWR,104,1925,1741
6,13,UA,EWR,131,1734,1523
2,18,AA,EWR,40,2255,2215
8,27,UA,EWR,-32,717,749
9,11,UA,EWR,-15,1214,1229
5,9,EV,LGA,-35,1007,1042
6,6,EV,LGA,-14,1237,1251
9,3,EV,EWR,-24,1219,1243
8,27,MQ,LGA,4,1759,1755
5,14,DL,JFK,-40,1009,1049
4,4,EV,JFK,47,1605,1518
8,22,EV,LGA,33,2204,2131
8,1,9E,JFK,3,1045,1042
4,5,B6,JFK,-17,1707,1724
1,28,WN,LGA,-12,718,730
10,30,B6,JFK,-6,1343,1349
12,25,FL,LGA,-1,1418,1419
6,9,AA,JFK,-23,1932,1955
7,21,AA,LGA,-8,1447,1455
8,9,UA,EWR,9,913,904
4,9,UA,EWR,-21,1748,1809
5,26,B6,JFK,-26,1723,1749
8,10,B6,JFK,20,1203,1143
12,23,VX,EWR,-24,1201,1225
