cbsa,metro_name
31700,"Manchester-Nashua, NH"
31540,"Madison, WI"
31420,"Macon-Bibb County, GA"
31420,"Macon, GA"
31340,"Lynchburg, VA"
31140,"Louisville/Jefferson County, KY-IN"
31140,"Louisville/Jefferson County, K"
31100,"Los Angeles-Long Beach, CA"
31084,"Los Angeles-Long Beach-Glendale, CA"
30780,"Little Rock-North Little Rock-Conway, AR"
30780,Little Rock-North Little Rock-
30700,"Lincoln, NE"
30620,"Lima, OH"
30460,"Lexington-Fayette, KY"
29620,"Lansing-East Lansing, MI"
29540,"Lancaster, PA"
29404,"Lake County-Kenosha County, IL-WI"
28940,"Knoxville, TN"
28140,"Kansas City, MO-KS"
28020,"Kalamazoo-Portage, MI"
27799,"Johnstown, PA"
27798,"Johnstown, PA"
27797,"Johnstown, PA"
27794,"Johnstown, PA"
27792,"Johnstown, PA"
27788,"Johnstown, PA"
27786,"Johnstown, PA"
27785,"Johnstown, PA"
27784,"Johnstown, PA"
27783,"Johnstown, PA"
27782,"Johnstown, PA"
27781,"Johnstown, PA"
27780,"Johnstown, PA"
27260,"Jacksonville, FL"
27140,"Jackson, MS"
27100,"Jackson, MI"
26900,"Indianapolis-Carmel-Anderson, IN"
26900,"Indianapolis-Carmel-Anderson,"
26580,"Huntington-Ashland, WV-KY-OH"
26420,"Houston-The Woodlands-Sugar Land, TX"
26420,Houston-The Woodlands-Sugar La
25540,"Hartford-West Hartford-East Hartford, CT"
25540,Hartford-West Hartford-East Ha
25420,"Harrisburg-Carlisle, PA"
24660,"Greensboro-High Point, NC"
24340,"Grand Rapids-Wyoming, MI"
23844,"Gary, IN"
23420,"Fresno, CA"
23419,"Fresno, CA"
23104,"Fort Worth-Arlington, TX"
23060,"Fort Wayne, IN"
22420,"Flint, MI"
21780,"Evansville, IN-KY"
21500,"Erie, PA"
21340,"El Paso, TX"
21300,"Elmira, NY"
20994,"Elgin, IL"
20524,"Dutchess County-Putnam County, NY"
20500,"Durham-Chapel Hill, NC"
20260,"Duluth, MN-WI"
20220,"Dubuque, IA"
19820,"Detroit-Warren-Dearborn, MI"
19804,"Detroit-Dearborn-Livonia, MI"
19780,"Des Moines-West Des Moines, IA"
19740,"Denver-Aurora-Lakewood, CO"
19500,"Decatur, IL"
19380,"Dayton, OH"
19340,"Davenport-Moline-Rock Island, IA-IL"
19340,"Davenport-Moline-Rock Island,"
19124,"Dallas-Plano-Irving, TX"
19100,"Dallas-Fort Worth-Arlington, T"
18180,"Concord, NH"
18140,"Columbus, OH"
17980,"Columbus, GA-AL"
17900,"Columbia, SC"
17460,"Cleveland-Elyria, OH"
17140,"Cincinnati, OH-KY-IN"
16980,"Chicago-Naperville-Elgin, IL-I"
16974,"Chicago-Naperville-Arlington Heights, IL"
16860,"Chattanooga, TN-GA"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16740,"Charlotte-Concord-Gastonia, NC"
16620,"Charleston, WV"
15940,"Canton-Massillon, OH"
15804,"Camden, NJ"
15764,"Cambridge-Newton-Framingham, MA"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
15380,Buffalo-Cheektowaga-Niagara Fa
14860,"Bridgeport-Stamford-Norwalk, CT"
14860,"Bridgeport-Stamford-Norwalk, C"
14460,"Boston-Cambridge-Newton, MA-NH"
14454,"Boston, MA"
13820,"Birmingham-Hoover, AL"
13780,"Binghamton, NY"
13140,"Beaumont-Port Arthur, TX"
13020,"Bay City, MI"
12980,"Battle Creek, MI"
12580,"Baltimore-Columbia-Towson, MD"
12420,"Austin-Round Rock, TX"
12260,"Augusta-Richmond County, GA-SC"
12100,"Atlantic City-Hammonton, NJ"
12060,"Atlanta-Sandy Springs-Roswell, GA"
12060,"Atlanta-Sandy Springs-Roswell,"
11700,"Asheville, NC"
11100,"Amarillo, TX"
11020,"Altoona, PA"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
10900,"Allentown-Bethlehem-Easton, PA"
10580,"Albany-Schenectady-Troy, NY"
10420,"Akron, OH"
0,0
